body,tail,model_type,popSize,paralell,computing_time
Exp,Pareto-Tail,disjoint,5000,True,37.54232048988342
Exp,GPD-Tail,continuous,5000,True,29.994752883911133
Exp,GPD-Tail,simple,5000,True,36.95887112617493
Exp,GPD-Tail,disjoint,5000,True,44.27870059013367
Weibull,Pareto-Tail,continuous,5000,True,57.12437057495117
Weibull,Pareto-Tail,simple,5000,True,59.12765836715698
Weibull,Pareto-Tail,disjoint,5000,True,74.64758825302124
Weibull,GPD-Tail,continuous,5000,True,77.56706738471985
Weibull,GPD-Tail,simple,5000,True,67.1113669872284
Weibull,GPD-Tail,disjoint,5000,True,72.2108063697815
Burr,Pareto-Tail,continuous,5000,True,98.57647776603699
Burr,Pareto-Tail,simple,5000,True,100.99686408042908
Burr,Pareto-Tail,disjoint,5000,True,112.9202651977539
Burr,GPD-Tail,continuous,5000,True,104.90488576889038
Burr,GPD-Tail,simple,5000,True,94.01045608520508
Burr,GPD-Tail,disjoint,5000,True,120.55731534957886
Exp,Pareto-Tail,continuous,10000,True,39.944207429885864
Exp,Pareto-Tail,simple,10000,True,48.63891530036926
Exp,Pareto-Tail,disjoint,10000,True,58.4675555229187
Exp,GPD-Tail,continuous,10000,True,48.05573630332947
Exp,GPD-Tail,simple,10000,True,62.23903250694275
Exp,GPD-Tail,disjoint,10000,True,73.31427931785583
Weibull,Pareto-Tail,continuous,10000,True,105.28661584854126
Weibull,Pareto-Tail,simple,10000,True,115.87704610824585
Weibull,Pareto-Tail,disjoint,10000,True,137.3597695827484
Weibull,GPD-Tail,continuous,10000,True,139.79030561447144
Weibull,GPD-Tail,simple,10000,True,120.56079053878784
Weibull,GPD-Tail,disjoint,10000,True,144.43222045898438
Burr,Pareto-Tail,continuous,10000,True,182.9322600364685
Burr,Pareto-Tail,simple,10000,True,193.60129809379578
Burr,Pareto-Tail,disjoint,10000,True,242.90732502937317
Burr,GPD-Tail,continuous,10000,True,226.74122071266174
Burr,GPD-Tail,simple,10000,True,226.75881338119507
Burr,GPD-Tail,disjoint,10000,True,174.6220543384552
Exp,Pareto-Tail,continuous,20000,True,66.40950441360474
Exp,Pareto-Tail,simple,20000,True,86.03331351280212
Exp,Pareto-Tail,disjoint,20000,True,103.40142822265625
Exp,GPD-Tail,continuous,20000,True,84.95318603515625
Exp,GPD-Tail,simple,20000,True,110.85911226272583
Exp,GPD-Tail,disjoint,20000,True,132.05546760559082
Weibull,Pareto-Tail,continuous,20000,True,202.80178260803223
Weibull,Pareto-Tail,simple,20000,True,205.00487160682678
Weibull,Pareto-Tail,disjoint,20000,True,290.5479040145874
Weibull,GPD-Tail,continuous,20000,True,305.72135496139526
Weibull,GPD-Tail,simple,20000,True,233.4741244316101
Weibull,GPD-Tail,disjoint,20000,True,257.8473572731018
Burr,Pareto-Tail,continuous,20000,True,446.0433895587921
Burr,Pareto-Tail,simple,20000,True,384.33059191703796
Burr,Pareto-Tail,disjoint,20000,True,471.8457360267639
Burr,GPD-Tail,continuous,20000,True,393.7711775302887
Burr,GPD-Tail,simple,20000,True,325.3007535934448
Burr,GPD-Tail,disjoint,20000,True,378.5084114074707
