,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
5,518,Inverse-Weibull_Inverse-Weibull,2000,-1660.2677171384653,2.162751264053779,1.5,-480.6774254609543,-314.12784254442755,-101.38469054737985,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.6586559734613198e-22
0,518,BMA,2000,,2.5039157148124414,1.5,-277.00728644480296,-190.96085544422922,-70.55022022445566,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,519,Weibull_Log-Logistic,2000,-1515.6183683556665,1.6305167817835995,1.5,-342.3125448446429,-222.61280629404936,-64.74033999958144,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.07088177322924309
1,519,Weibull_Lomax,2000,-1513.084677678024,0.7670496827156116,1.5,-116.33605155803251,-76.62737727926931,-17.33145225001427,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.8931048622988793
2,519,Weibull_Inverse-Weibull,2000,-1516.2954915740977,2.2528376420222687,1.5,-410.97605062349726,-266.8330243350356,-83.55347970376334,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.036013364471877606
3,519,Inverse-Weibull_Log-Logistic,2000,-1562.655554610235,0.43854821588044135,1.5,-668.738689685764,-429.8013259215698,-146.993217914374,-171.59349954805944,-127.25263247425696,-54.30793233997974,2.6457215759428e-22
4,519,Inverse-Weibull_Lomax,2000,-1557.1093660978852,0.26082829806250585,1.5,-138.27672908599584,-98.86828769413802,-37.15910348844387,-171.59349954805944,-127.25263247425696,-54.30793233997974,6.779898707924398e-20
5,519,Inverse-Weibull_Inverse-Weibull,2000,-1570.546516969596,0.768060548308033,1.5,-895.1064476974441,-550.6905489597812,-159.2497595704148,-171.59349954805944,-127.25263247425696,-54.30793233997974,9.897892426450768e-26
0,519,BMA,2000,,0.881761985129099,1.5,-142.96464378465188,-93.82502864549734,-23.07675629128828,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,520,Weibull_Log-Logistic,2000,-1557.4950571551,4.154151048138367,1.5,-184.15703195894946,-123.03723870555048,-44.62811669604941,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.23901124841935217
1,520,Weibull_Lomax,2000,-1556.568366629659,3.0095679714735737,1.5,-141.60006135727903,-104.02891621901266,-43.778632856570106,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.6037747155037936
2,520,Weibull_Inverse-Weibull,2000,-1557.9139596064103,4.684638165824039,1.5,-196.59623091599602,-138.1643723307316,-51.48261059766965,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.15721403607685427
3,520,Inverse-Weibull_Log-Logistic,2000,-1605.167181184493,2.2790288698027523,1.5,-277.70262649975564,-179.81106996268284,-55.39214767053705,-171.59349954805944,-127.25263247425696,-54.30793233997974,4.728005071871155e-22
4,520,Inverse-Weibull_Lomax,2000,-1594.589362759821,0.22126838415066052,1.5,-264.91741324628094,-185.13746997782863,-77.85358110165761,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.8559492913798305e-17
5,520,Inverse-Weibull_Inverse-Weibull,2000,-1606.0644968686158,2.8247679148195504,1.5,-309.22376384476405,-203.37900148338616,-64.81015085731693,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.9274303072082235e-22
