,sim,model_name,nobs,γ_map,log_marg,Wass_dist,q95,q99,q995,posterior_probability
23,14,Weibull_Lognormal_continuous,1000.0,1.7033133002043324,-553.803276554248,41.9107843010744,4.6399172504152375,11.98455166218082,16.7996212496746,0.13607696268109326
24,14,Weibull_Log-Logistic_continuous,1000.0,3.1047894082195517,-556.0876500466113,84.31854047519774,4.212976278950009,11.566783797434255,17.499835536227693,0.013857784539877382
25,14,Weibull_Lomax_continuous,1000.0,2.178689717914831,-554.9367651319503,62.047556311943744,4.392641272943365,12.004507965457378,17.711271738107826,0.04380430280166652
26,14,Weibull_Burr_continuous,1000.0,2.535010311849462,-555.958724501388,193.87029656657936,3.614210442037802,8.301665133103597,11.434728008907769,0.01576469081360375
27,14,Weibull_Pareto-Tail_continuous,1000.0,4.615834101300521,-557.101560270008,82.96890679276501,4.478756210346546,12.352531797432675,19.119210747930993,0.005027570733983937
28,14,Weibull_GPD-Tail_continuous,1000.0,1.931553566795992,-555.3636682329848,51.4968071343661,4.453151092320695,11.539244582081665,16.496195343052023,0.02858348058435595
29,14,Weibull_Inverse-Gamma_continuous,1000.0,3.2368939776523695,-555.942599020728,80.27094163889532,4.281006482642624,11.978190883610296,18.21440420712861,0.01602096474736779
30,14,Weibull_Inverse-Weibull_continuous,1000.0,3.5181021516297553,-556.2050980308318,89.95724525224337,4.167250011732904,11.446443437534981,17.450695821707995,0.01232215856747269
31,14,Weibull_Exp_continuous,1000.0,6.101773477541658,-557.9488169655968,59.43498380613635,4.56937030435256,11.641028407893828,14.792932034879414,0.002154761870219671
32,14,Weibull_Gamma_continuous,1000.0,3.528114521358798,-558.1135257005153,90.21936928044003,5.245382084240191,11.618590889383995,14.558710148548926,0.0018275412450051774
33,14,Lognormal_Weibull_continuous,1000.0,0.20034782462848016,-561.5313811116915,196.6096368248868,4.128674646608488,10.08041650152336,13.447299096469578,5.991167230216198e-05
34,14,Lognormal_Lognormal_continuous,1000.0,0.5593824913305193,-562.115844269415,74.29305269476501,4.365117689530962,11.749768447089082,16.751601350506462,3.3395066902883835e-05
35,14,Lognormal_Log-Logistic_continuous,1000.0,0.9443796960784435,-566.0266086957705,158.63983235717808,4.24245101271481,13.719181168880823,22.36082750073365,6.687424739112995e-07
36,14,Lognormal_Lomax_continuous,1000.0,0.5992845242975704,-563.2221192673212,104.86703286360513,4.263976194351926,12.409825700387955,18.906013821151646,1.1046716048904632e-05
37,14,Lognormal_Burr_continuous,1000.0,0.4184390401594471,-564.3083918271183,93.1765476504504,4.252671459425983,11.308983260960304,16.271685154833904,3.727958011881429e-06
