,sim,model_name,nobs,γ_map,log_marg,Wass_dist,posterior_probability
74,76,Inverse-Gaussian_Inverse-Weibull_continuous,250.0,0.0017829286291819958,-203.14164339621527,7340.5540936555035,5.885361828778235e-37
75,76,Inverse-Gaussian_Exp_continuous,250.0,0.001268014569097904,-211.2063214968311,90.41492017285309,1.8506656781832876e-40
76,76,Inverse-Gaussian_Gamma_continuous,250.0,1.9961854889011223e-05,-148.80936829160933,45.27290954240944,2.3226321611868203e-13
77,76,Lomax_Weibull_continuous,250.0,0.005354670166423901,-136.62952663410556,27.75705218129268,4.5249986885537e-08
78,76,Lomax_Lognormal_continuous,250.0,0.09114972363137255,-136.12398148386944,16.61603186234787,7.501945880061138e-08
79,76,Lomax_Log-Logistic_continuous,250.0,0.10377849167940809,-138.27087964177514,25.085902513369664,8.76572624785655e-09
80,76,Lomax_Lomax_continuous,250.0,0.09434975408605888,-137.4894954242414,19.600586248907685,1.9148676293594832e-08
81,76,Lomax_Burr_continuous,250.0,0.10296299737025379,-138.9756337909645,46.73284741421455,4.332285463624537e-09
82,76,Lomax_Pareto-Tail_continuous,250.0,1.5436538992062274,-144.4981788106195,25.69473575354597,1.7310365480336476e-11
83,76,Lomax_GPD-Tail_continuous,250.0,0.06174145931404342,-135.50482124161115,12.717592168059237,1.3933871573922733e-07
84,76,Lomax_Inverse-Gamma_continuous,250.0,0.23760683711189093,-138.06833943885803,20.239532575386917,1.0733713425522722e-08
85,76,Lomax_Inverse-Weibull_continuous,250.0,0.3365222691443531,-141.46253164652782,40.19796465809934,3.6030563121930433e-10
86,76,Lomax_Exp_continuous,250.0,1.9285963028029505,-148.4628328373724,45.84021359291391,3.284572639762306e-13
87,76,Lomax_Gamma_continuous,250.0,0.00031949910147621306,-134.9363344672746,44.35868086313095,2.4601550124900727e-07
88,76,Log-Logistic_Weibull_continuous,250.0,0.7094830228135677,-124.74306155765754,24.641003051008553,0.00657422630441286
89,76,Log-Logistic_Lognormal_continuous,250.0,0.5582075167972977,-123.9402565020968,24.569072340603846,0.014672308685311332
90,76,Log-Logistic_Log-Logistic_continuous,250.0,0.7681642611889783,-124.04661395924337,27.73297426488945,0.013191919686875154
91,76,Log-Logistic_Lomax_continuous,250.0,0.6011715036002795,-123.29597855841173,26.556556679165865,0.027945044861021916
92,76,Log-Logistic_Burr_continuous,250.0,0.764020539762268,-124.47103242344588,73.26658305315595,0.00862949540073311
93,76,Log-Logistic_Pareto-Tail_continuous,250.0,1.160760634832786,-124.20409026575365,24.972649671227884,0.011269818133639512
94,76,Log-Logistic_GPD-Tail_continuous,250.0,0.6036870445492745,-123.76877765258118,20.869067897316725,0.017416896597911218
95,76,Log-Logistic_Inverse-Gamma_continuous,250.0,0.7772930341494969,-123.50788853825836,30.818047154587955,0.022608589901606375
