,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
22,22,true,250,-16355.368360343138,-7732.715319568618,-1330.5673601618248,-151.23528817018322,-112.48527400129585,-47.509839309988706
22,22,best,250,-15479.290634197761,-6868.30560734407,-1202.150985927972,-151.23528817018322,-112.48527400129585,-47.509839309988706
22,22,BMA,250,-33381.363830615286,-14773.384858018073,-2170.7891602339278,-151.23528817018322,-112.48527400129585,-47.509839309988706
23,23,true,250,-7830.318179721446,-3975.5665319697487,-892.8108048556342,-151.23528817018322,-112.48527400129585,-47.509839309988706
23,23,best,250,-7247.82967923737,-3787.875612180389,-872.0587194339748,-151.23528817018322,-112.48527400129585,-47.509839309988706
23,23,BMA,250,-9008.514991106338,-4452.483859044875,-964.2658857270642,-151.23528817018322,-112.48527400129585,-47.509839309988706
24,24,true,250,-4315.637164666903,-2280.328591869854,-511.03373033609483,-151.23528817018322,-112.48527400129585,-47.509839309988706
24,24,best,250,-169.32238402792174,-130.90326536718456,-58.29293515213018,-151.23528817018322,-112.48527400129585,-47.509839309988706
24,24,BMA,250,-1505.5478676390583,-795.90439919453,-177.19845437416433,-151.23528817018322,-112.48527400129585,-47.509839309988706
25,25,true,250,-717.4386983801172,-452.0695311407478,-147.36072745235901,-151.23528817018322,-112.48527400129585,-47.509839309988706
25,25,best,250,-86.2105984833431,-70.45608367910675,-39.432562544611194,-151.23528817018322,-112.48527400129585,-47.509839309988706
25,25,BMA,250,-236.2672746508537,-138.39258754527356,-53.91182356527388,-151.23528817018322,-112.48527400129585,-47.509839309988706
26,26,true,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
26,26,best,250,-64.28516168803765,-57.09842948992094,-37.915548510213966,-151.23528817018322,-112.48527400129585,-47.509839309988706
26,26,BMA,250,-112.07309791281568,-88.174508976312,-49.528030665564636,-151.23528817018322,-112.48527400129585,-47.509839309988706
27,27,true,250,-1699.3916126968124,-932.7218268628176,-242.47219523277386,-151.23528817018322,-112.48527400129585,-47.509839309988706
27,27,best,250,-1194.69443521487,-719.4843934411796,-198.33005774724785,-151.23528817018322,-112.48527400129585,-47.509839309988706
27,27,BMA,250,-1430.3731334788931,-813.5015175829444,-231.18462560590996,-151.23528817018322,-112.48527400129585,-47.509839309988706
28,28,true,250,-1996.217965305873,-1104.8322408231693,-296.3346738836672,-151.23528817018322,-112.48527400129585,-47.509839309988706
28,28,best,250,-2230.28010139171,-1221.5362371336964,-324.1636052563827,-151.23528817018322,-112.48527400129585,-47.509839309988706
28,28,BMA,250,-2794.898065848238,-1465.9859247004963,-360.0458728619833,-151.23528817018322,-112.48527400129585,-47.509839309988706
29,29,true,250,-1188.3769021769233,-713.4536604505155,-230.70072653315682,-151.23528817018322,-112.48527400129585,-47.509839309988706
29,29,best,250,-109.48190051053537,-89.76599620919484,-54.066886129051554,-151.23528817018322,-112.48527400129585,-47.509839309988706
29,29,BMA,250,-130.24550549234144,-103.72574333702697,-56.77413907973675,-151.23528817018322,-112.48527400129585,-47.509839309988706
30,30,true,250,-1223.3174907203952,-707.9536110393561,-191.6464632931838,-151.23528817018322,-112.48527400129585,-47.509839309988706
30,30,best,250,-173.36745373955958,-127.20216111768715,-50.49769541807151,-151.23528817018322,-112.48527400129585,-47.509839309988706
30,30,BMA,250,-255.5729481334889,-166.02102311628715,-53.455363991069774,-151.23528817018322,-112.48527400129585,-47.509839309988706
31,31,true,250,-647.7249281051819,-399.9271542928382,-118.67186843396489,-151.23528817018322,-112.48527400129585,-47.509839309988706
31,31,best,250,-107.88613131922571,-80.39165472643927,-32.735800748272595,-151.23528817018322,-112.48527400129585,-47.509839309988706
31,31,BMA,250,-298.13290864141067,-171.9211282917098,-43.19119345766442,-151.23528817018322,-112.48527400129585,-47.509839309988706
32,32,true,250,-1875.7463655779065,-1094.1871098036947,-314.87144569531165,-151.23528817018322,-112.48527400129585,-47.509839309988706
32,32,best,250,-2006.2277802411845,-1163.7132107778718,-326.58395515732343,-151.23528817018322,-112.48527400129585,-47.509839309988706
32,32,BMA,250,-2005.60856849029,-1105.1852247011286,-301.6635175140215,-151.23528817018322,-112.48527400129585,-47.509839309988706
33,33,true,250,-1534.5473913257413,-851.6431919967117,-224.09111972867498,-151.23528817018322,-112.48527400129585,-47.509839309988706
33,33,best,250,-1475.0361913254685,-848.4058923369803,-221.14122789708728,-151.23528817018322,-112.48527400129585,-47.509839309988706
33,33,BMA,250,-1581.5103087876614,-890.9357510254575,-214.41320541041813,-151.23528817018322,-112.48527400129585,-47.509839309988706
34,34,true,250,-1147.123572518934,-667.1700562485078,-160.69427785966369,-151.23528817018322,-112.48527400129585,-47.509839309988706
34,34,best,250,-61.0005124351934,-42.224119771123135,-9.899662679324882,-151.23528817018322,-112.48527400129585,-47.509839309988706
34,34,BMA,250,-429.63624536586724,-234.9525715452125,-43.329176404665766,-151.23528817018322,-112.48527400129585,-47.509839309988706
35,35,true,250,-7298.148998119763,-3660.95011111435,-803.3102698771207,-151.23528817018322,-112.48527400129585,-47.509839309988706
35,35,best,250,-6779.643536612175,-3437.0591026355164,-793.0924367760449,-151.23528817018322,-112.48527400129585,-47.509839309988706
35,35,BMA,250,-11302.999872761224,-5486.933653354385,-1116.8034868165335,-151.23528817018322,-112.48527400129585,-47.509839309988706
36,36,true,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
36,36,best,250,-1028.4564584497252,-616.8743161354082,-183.0164567719934,-151.23528817018322,-112.48527400129585,-47.509839309988706
36,36,BMA,250,-812.8655494781316,-473.4865273799281,-134.9945422583731,-151.23528817018322,-112.48527400129585,-47.509839309988706
